Outside Wales,2020-04-11,3,52,,5,217
Flintshire,2020-09-20,8,898,575.3000000000001,238,22098
Cardiff,2020-11-01,101,8121,2213.4,445,87407
Isle of Anglesey,2020-03-17,0,2,2.9000000000000004,5,39
Outside Wales,2020-04-10,3,49,,7,212
Monmouthshire,2020-03-01,0,0,0.0,0,16
Flintshire,2020-09-19,6,890,570.1,205,21860
Cardiff,2020-10-31,96,8020,2185.9,476,86962
Isle of Anglesey,2020-03-16,0,2,2.9000000000000004,3,34
Cardiff,2020-10-30,190,7924,2159.7000000000003,815,86486
Outside Wales,2020-04-09,0,46,,10,205
Monmouthshire,2020-02-29,0,0,0.0,6,16
Gwynedd,2020-06-16,0,502,403.0,120,5679
Isle of Anglesey,2020-03-15,0,2,2.9000000000000004,2,31
Monmouthshire,2020-10-25,22,758,801.4000000000001,129,16059
Gwynedd,2020-06-15,3,502,403.0,156,5559
Monmouthshire,2020-02-28,0,0,0.0,3,10
Outside Wales,2020-04-08,2,46,,12,195
Cardiff,2020-10-29,195,7734,2107.9,901,85671
Isle of Anglesey,2020-03-14,1,2,2.9000000000000004,6,29
Monmouthshire,2020-02-27,0,0,0.0,1,7
Outside Wales,2020-04-07,8,44,,21,183
Monmouthshire,2020-10-24,18,736,778.1,128,15930
Cardiff,2020-10-28,143,7539,2054.8,858,84770
Gwynedd,2020-06-14,3,499,400.6,58,5403
Neath Port Talbot,2020-09-15,4,744,519.1,287,19126
Merthyr Tydfil,2020-05-03,5,291,482.40000000000003,17,863
Blaenau Gwent,2020-07-07,0,364,521.0,50,4107
Conwy,2020-11-27,12,1726,1472.7,220,35118
Isle of Anglesey,2020-03-13,0,1,1.4000000000000001,3,23
Outside Wales,2020-04-06,3,36,,9,162
Monmouthshire,2020-02-26,0,0,0.0,0,6
Pembrokeshire,2020-07-30,0,300,238.4,119,8710
Bridgend,2020-06-11,2,546,371.3,156,5693
Ceredigion,2020-04-14,0,31,42.6,9,276
Merthyr Tydfil,2020-05-02,5,286,474.1,33,846
Flintshire,2020-09-18,12,884,566.3000000000001,342,21655
Monmouthshire,2020-02-25,0,0,0.0,0,6
Outside Wales,2020-04-05,1,33,,3,153
Pembrokeshire,2020-07-29,1,300,238.4,75,8591
Bridgend,2020-06-10,1,544,369.90000000000003,169,5537
Cardiff,2020-10-27,171,7396,2015.8000000000002,888,83912
Blaenau Gwent,2020-07-06,1,364,521.0,110,4057
Ceredigion,2020-04-13,0,31,42.6,6,267
Merthyr Tydfil,2020-05-01,11,281,465.8,49,813
Cardiff,2020-07-22,2,2310,629.6,336,24393
Outside Wales,2020-04-04,0,32,,3,150
Flintshire,2020-03-01,0,0,0.0,4,13
Flintshire,2020-09-17,7,872,558.6,358,21313
Monmouthshire,2020-02-24,0,0,0.0,1,6
Pembrokeshire,2020-07-28,0,299,237.60000000000002,100,8516
Blaenau Gwent,2020-09-25,26,676,967.6,253,12761
Bridgend,2020-06-09,2,543,369.3,91,5368
Cardiff,2020-10-26,228,7225,1969.2,1063,83024
Ceredigion,2020-04-12,2,31,42.6,5,261
Outside Wales,2020-04-03,1,32,,7,147
Merthyr Tydfil,2020-04-30,2,270,447.6,22,764
Pembrokeshire,2020-07-27,1,299,237.60000000000002,161,8416
Bridgend,2020-06-08,0,541,367.90000000000003,141,5277
Monmouthshire,2020-02-23,0,0,0.0,0,5
Blaenau Gwent,2020-09-24,23,650,930.4000000000001,350,12508
Flintshire,2020-02-29,0,0,0.0,0,9
Isle of Anglesey,2020-06-29,1,443,632.5,76,4701
Cardiff,2020-07-21,6,2308,629.0,383,24057
Ceredigion,2020-04-11,1,29,39.900000000000006,8,256
Outside Wales,2020-04-02,2,31,,9,140
Blaenau Gwent,2020-07-05,0,363,519.6,21,3947
Monmouthshire,2020-02-22,0,0,0.0,2,5
Bridgend,2020-06-07,2,541,367.90000000000003,59,5136
Cardiff,2020-07-20,2,2302,627.4000000000001,308,23674
Merthyr Tydfil,2020-04-29,9,268,444.3,24,742
Pembrokeshire,2020-07-26,0,298,236.9,24,8255
Blaenau Gwent,2020-09-23,52,627,897.5,376,12158
Ceredigion,2020-04-10,2,28,38.5,12,248
Blaenau Gwent,2020-07-04,0,363,519.6,60,3926
Outside Wales,2020-04-01,4,29,,9,131
Monmouthshire,2020-02-21,0,0,0.0,1,3
Bridgend,2020-06-06,0,539,366.5,75,5077
Cardiff,2020-07-19,0,2300,626.9000000000001,200,23366
Pembrokeshire,2020-07-25,0,298,236.9,49,8231
Merthyr Tydfil,2020-04-28,9,259,429.3,28,718
Blaenau Gwent,2020-09-22,26,575,823.1,305,11782
Flintshire,2020-02-28,0,0,0.0,4,9
Ceredigion,2020-04-09,0,26,35.800000000000004,6,236
Isle of Anglesey,2020-06-28,0,442,631.0,39,4625
Outside Wales,2020-03-31,4,25,,13,122
Monmouthshire,2020-02-20,0,0,0.0,0,2
Merthyr Tydfil,2020-07-09,2,570,944.9000000000001,31,4911
Cardiff,2020-07-18,0,2300,626.9000000000001,167,23166
Merthyr Tydfil,2020-11-06,44,2393,3966.8,179,20493
Conwy,2020-11-26,6,1714,1462.4,232,34898
Merthyr Tydfil,2020-04-27,8,250,414.40000000000003,25,690
Blaenau Gwent,2020-07-03,1,363,519.6,54,3866
Merthyr Tydfil,2020-07-08,1,568,941.6,74,4880
Isle of Anglesey,2020-06-27,0,442,631.0,33,4586
Merthyr Tydfil,2020-11-05,43,2349,3893.8,195,20314
Merthyr Tydfil,2020-04-26,4,242,401.20000000000005,12,665
Blaenau Gwent,2020-07-02,1,362,518.2,72,3812
Conwy,2020-11-25,3,1708,1457.3000000000002,222,34666
Gwynedd,2020-06-13,4,496,398.20000000000005,62,5345
Merthyr Tydfil,2020-07-07,0,567,939.9000000000001,103,4806
Merthyr Tydfil,2020-04-25,3,238,394.5,15,653
Merthyr Tydfil,2020-11-04,64,2306,3822.6000000000004,229,20119
Isle of Anglesey,2020-06-26,1,442,631.0,76,4553
Blaenau Gwent,2020-07-01,2,361,516.7,115,3740
Conwy,2020-11-24,3,1705,1454.7,302,34444
Merthyr Tydfil,2020-07-06,0,567,939.9000000000001,59,4703
Blaenau Gwent,2020-06-30,0,359,513.9,91,3625
Neath Port Talbot,2020-09-14,2,740,516.3000000000001,356,18839
Isle of Anglesey,2020-06-25,1,441,629.6,71,4477
Merthyr Tydfil,2020-11-03,43,2242,3716.5,216,19890
Merthyr Tydfil,2020-04-24,3,235,389.6,20,638
Conwy,2020-11-23,6,1702,1452.2,227,34142
Gwynedd,2020-06-12,1,492,395.0,93,5283
Cardiff,2020-07-17,1,2300,626.9000000000001,350,22999
Isle of Anglesey,2020-03-12,0,1,1.4000000000000001,1,20
Merthyr Tydfil,2020-04-23,8,232,384.6,28,618
Merthyr Tydfil,2020-07-05,0,567,939.9000000000001,44,4644
Cardiff,2020-07-16,1,2299,626.6,287,22649
Blaenau Gwent,2020-06-29,2,359,513.9,119,3534
Isle of Anglesey,2020-03-11,1,1,1.4000000000000001,3,19
Isle of Anglesey,2020-06-24,3,440,628.2,107,4406
Conwy,2020-11-22,4,1696,1447.1000000000001,140,33915
Neath Port Talbot,2020-09-13,1,738,514.9,248,18483
Merthyr Tydfil,2020-11-02,71,2199,3645.2000000000003,285,19674
Merthyr Tydfil,2020-07-04,0,567,939.9000000000001,33,4600
Merthyr Tydfil,2020-04-22,7,224,371.3,24,590
Blaenau Gwent,2020-06-28,0,357,511.0,26,3415
Conwy,2020-11-21,0,1692,1443.6000000000001,137,33775
Neath Port Talbot,2020-09-12,1,737,514.3000000000001,204,18235
Isle of Anglesey,2020-06-23,9,437,623.9000000000001,174,4299
Merthyr Tydfil,2020-11-01,58,2128,3527.5,150,19389
Cardiff,2020-07-15,3,2298,626.3000000000001,357,22362
Merthyr Tydfil,2020-07-03,0,567,939.9000000000001,87,4567
Blaenau Gwent,2020-06-27,0,357,511.0,11,3389
Conwy,2020-11-20,2,1692,1443.6000000000001,233,33638
Merthyr Tydfil,2020-04-21,11,217,359.70000000000005,36,566
Isle of Anglesey,2020-06-22,5,428,611.1,109,4125
Gwynedd,2020-06-11,3,491,394.20000000000005,70,5190
Merthyr Tydfil,2020-10-31,21,2070,3431.4,106,19239
Conwy,2020-11-19,4,1690,1441.9,169,33405
Merthyr Tydfil,2020-07-02,1,567,939.9000000000001,89,4480
Blaenau Gwent,2020-06-26,2,357,511.0,60,3378
Merthyr Tydfil,2020-04-20,7,206,341.5,19,530
Isle of Anglesey,2020-06-21,1,423,603.9,86,4016
Merthyr Tydfil,2020-10-30,56,2049,3396.5,203,19133
Neath Port Talbot,2020-09-11,3,736,513.6,342,18031
Cardiff,2020-07-14,1,2295,625.5,324,22005
Gwynedd,2020-06-10,5,488,391.8,120,5120
Merthyr Tydfil,2020-04-19,3,199,329.90000000000003,11,511
Blaenau Gwent,2020-06-25,0,355,508.1,60,3318
Conwy,2020-11-18,5,1686,1438.5,255,33236
Isle of Anglesey,2020-06-20,7,422,602.5,93,3930
Merthyr Tydfil,2020-07-01,1,566,938.2,89,4391
Merthyr Tydfil,2020-10-29,79,1993,3303.7000000000003,290,18930
Gwynedd,2020-06-09,4,483,387.8,119,5000
Merthyr Tydfil,2020-04-18,5,196,324.90000000000003,12,500
Isle of Anglesey,2020-06-19,54,415,592.5,255,3837
Blaenau Gwent,2020-06-24,0,355,508.1,62,3258
Merthyr Tydfil,2020-06-30,1,565,936.6,106,4302
Conwy,2020-11-17,13,1681,1434.3000000000002,245,32981
Merthyr Tydfil,2020-10-28,67,1914,3172.8,207,18640
Neath Port Talbot,2020-09-10,7,733,511.5,414,17689
Gwynedd,2020-09-09,0,649,521.0,200,15902
Cardiff,2020-07-13,0,2294,625.2,297,21681
Merthyr Tydfil,2020-04-17,14,191,316.6,30,488
Blaenau Gwent,2020-06-23,2,355,508.1,49,3196
Gwynedd,2020-09-08,8,649,521.0,202,15702
Conwy,2020-11-16,6,1668,1423.2,264,32736
Merthyr Tydfil,2020-06-29,5,564,934.9000000000001,78,4196
Merthyr Tydfil,2020-10-27,92,1847,3061.7000000000003,259,18433
Isle of Anglesey,2020-06-18,6,361,515.4,79,3582
Merthyr Tydfil,2020-06-28,2,559,926.6,22,4118
Blaenau Gwent,2020-06-22,0,353,505.3,62,3147
Merthyr Tydfil,2020-10-26,85,1755,2909.2000000000003,244,18174
Conwy,2020-11-15,5,1662,1418.1000000000001,117,32472
Gwynedd,2020-06-08,3,479,384.6,115,4881
Flintshire,2020-05-23,13,511,327.40000000000003,185,3051
Isle of Anglesey,2020-03-10,0,0,0.0,0,16
Flintshire,2020-09-16,8,865,554.1,354,20955
Monmouthshire,2020-10-23,30,718,759.1,181,15802
Gwynedd,2020-09-07,3,641,514.6,173,15500
Blaenau Gwent,2020-09-21,34,549,785.8000000000001,400,11477
Pembrokeshire,2020-07-24,0,298,236.9,276,8182
Flintshire,2020-02-27,0,0,0.0,0,5
Monmouthshire,2020-10-22,21,688,727.3000000000001,125,15621
Gwynedd,2020-09-06,2,638,512.2,80,15327
Flintshire,2020-09-15,6,857,549.0,342,20601
Isle of Anglesey,2020-06-17,12,355,506.8,89,3503
Blaenau Gwent,2020-09-20,37,515,737.2,238,11077
Merthyr Tydfil,2020-04-16,15,177,293.40000000000003,28,458
Pembrokeshire,2020-07-23,0,298,236.9,194,7906
Isle of Anglesey,2020-03-09,0,0,0.0,0,16
Merthyr Tydfil,2020-04-15,18,162,268.5,32,430
